Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team,Start Date,End Date
V Kohli,3,3.0,0.0,183.0,89.0,61.0,181.0,101.1,0.0,2.0,0.0,14.0,1.0,India,2020-01-01,2020-02-01
RG Sharma,3,3.0,0.0,171.0,119.0,57.0,187.0,91.44,1.0,0.0,0.0,16.0,6.0,India,2020-01-01,2020-02-01
S Dhawan,3,2.0,0.0,170.0,96.0,85.0,181.0,93.92,0.0,2.0,0.0,22.0,2.0,India,2020-01-01,2020-02-01
KL Rahul,3,3.0,0.0,146.0,80.0,48.66,140.0,104.28,0.0,1.0,0.0,12.0,3.0,India,2020-01-01,2020-02-01
SS Iyer,3,3.0,1.0,55.0,44.0,27.5,61.0,90.16,0.0,0.0,0.0,7.0,1.0,India,2020-01-01,2020-02-01
RA Jadeja,3,2.0,1.0,45.0,25.0,45.0,48.0,93.75,0.0,0.0,0.0,3.0,1.0,India,2020-01-01,2020-02-01
RR Pant,1,1.0,0.0,28.0,28.0,28.0,33.0,84.84,0.0,0.0,0.0,2.0,1.0,India,2020-01-01,2020-02-01
Kuldeep Yadav,3,1.0,0.0,17.0,17.0,17.0,15.0,113.33,0.0,0.0,0.0,2.0,0.0,India,2020-01-01,2020-02-01
SN Thakur,1,1.0,0.0,13.0,13.0,13.0,10.0,130.0,0.0,0.0,0.0,2.0,0.0,India,2020-01-01,2020-02-01
Mohammed Shami,3,2.0,1.0,11.0,10.0,11.0,16.0,68.75,0.0,0.0,0.0,1.0,0.0,India,2020-01-01,2020-02-01
MK Pandey,2,2.0,1.0,10.0,8.0,10.0,8.0,125.0,0.0,0.0,0.0,2.0,0.0,India,2020-01-01,2020-02-01
JJ Bumrah,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2020-01-01,2020-02-01
NA Saini,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2020-01-01,2020-02-01
SPD Smith,3,2.0,0.0,229.0,131.0,114.5,234.0,97.86,1.0,1.0,0.0,23.0,2.0,Australia,2020-01-01,2020-02-01
AJ Finch,3,3.0,1.0,162.0,110.0,81.0,188.0,86.17,1.0,0.0,0.0,17.0,3.0,Australia,2020-01-01,2020-02-01
DA Warner,3,3.0,1.0,146.0,128.0,73.0,131.0,111.45,1.0,0.0,0.0,19.0,3.0,Australia,2020-01-01,2020-02-01
M Labuschagne,3,2.0,0.0,100.0,54.0,50.0,111.0,90.09,0.0,1.0,0.0,9.0,0.0,Australia,2020-01-01,2020-02-01
AT Carey,3,2.0,0.0,53.0,35.0,26.5,53.0,100.0,0.0,0.0,0.0,6.0,1.0,Australia,2020-01-01,2020-02-01
AC Agar,3,2.0,1.0,36.0,25.0,36.0,38.0,94.73,0.0,0.0,0.0,3.0,0.0,Australia,2020-01-01,2020-02-01
KW Richardson,2,1.0,1.0,24.0,24.0,0.0,11.0,218.18,0.0,0.0,0.0,4.0,1.0,Australia,2020-01-01,2020-02-01
AJ Turner,3,2.0,0.0,17.0,13.0,8.5,25.0,68.0,0.0,0.0,0.0,0.0,0.0,Australia,2020-01-01,2020-02-01
A Zampa,3,2.0,0.0,7.0,6.0,3.5,12.0,58.33,0.0,0.0,0.0,1.0,0.0,Australia,2020-01-01,2020-02-01
MA Starc,3,2.0,0.0,6.0,6.0,3.0,14.0,42.85,0.0,0.0,1.0,0.0,0.0,Australia,2020-01-01,2020-02-01
JR Hazlewood,1,1.0,1.0,1.0,1.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,Australia,2020-01-01,2020-02-01
PJ Cummins,3,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Australia,2020-01-01,2020-02-01
SS Iyer,3,3.0,0.0,217.0,103.0,72.33,227.0,95.59,1.0,2.0,0.0,27.0,2.0,India,2020-02-01,2020-03-01
KL Rahul,3,3.0,1.0,204.0,112.0,102.0,185.0,110.27,1.0,1.0,0.0,12.0,8.0,India,2020-02-01,2020-03-01
PP Shaw,3,3.0,0.0,84.0,40.0,28.0,82.0,102.43,0.0,0.0,0.0,12.0,2.0,India,2020-02-01,2020-03-01
V Kohli,3,3.0,0.0,75.0,51.0,25.0,100.0,75.0,0.0,1.0,0.0,7.0,1.0,India,2020-02-01,2020-03-01
RA Jadeja,3,2.0,1.0,63.0,55.0,63.0,80.0,78.75,0.0,1.0,0.0,3.0,1.0,India,2020-02-01,2020-03-01
NA Saini,2,2.0,1.0,53.0,45.0,53.0,55.0,96.36,0.0,0.0,0.0,7.0,2.0,India,2020-02-01,2020-03-01
MK Pandey,1,1.0,0.0,42.0,42.0,42.0,48.0,87.5,0.0,0.0,0.0,2.0,0.0,India,2020-02-01,2020-03-01
MA Agarwal,3,3.0,0.0,36.0,32.0,12.0,39.0,92.3,0.0,0.0,0.0,6.0,0.0,India,2020-02-01,2020-03-01
KM Jadhav,2,2.0,1.0,35.0,26.0,35.0,42.0,83.33,0.0,0.0,0.0,4.0,1.0,India,2020-02-01,2020-03-01
SN Thakur,3,2.0,0.0,25.0,18.0,12.5,21.0,119.04,0.0,0.0,0.0,4.0,0.0,India,2020-02-01,2020-03-01
YS Chahal,2,1.0,0.0,10.0,10.0,10.0,12.0,83.33,0.0,0.0,0.0,1.0,0.0,India,2020-02-01,2020-03-01
JJ Bumrah,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2020-02-01,2020-03-01
Kuldeep Yadav,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2020-02-01,2020-03-01
Mohammed Shami,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2020-02-01,2020-03-01
Litton Das,1,1.0,1.0,126.0,126.0,0.0,105.0,120.0,1.0,0.0,0.0,13.0,2.0,Bangladesh,2020-02-01,2020-03-01
Mohammad Mithun,1,1.0,0.0,50.0,50.0,50.0,41.0,121.95,0.0,1.0,0.0,5.0,1.0,Bangladesh,2020-02-01,2020-03-01
Mahmudullah,1,1.0,0.0,32.0,32.0,32.0,28.0,114.28,0.0,0.0,0.0,2.0,1.0,Bangladesh,2020-02-01,2020-03-01
Najmul Hossain Shanto,1,1.0,0.0,29.0,29.0,29.0,38.0,76.31,0.0,0.0,0.0,1.0,2.0,Bangladesh,2020-02-01,2020-03-01
Mohammad Saifuddin,1,1.0,1.0,28.0,28.0,0.0,15.0,186.66,0.0,0.0,0.0,0.0,3.0,Bangladesh,2020-02-01,2020-03-01
Tamim Iqbal,1,1.0,0.0,24.0,24.0,24.0,43.0,55.81,0.0,0.0,0.0,2.0,0.0,Bangladesh,2020-02-01,2020-03-01
Mushfiqur Rahim,1,1.0,0.0,19.0,19.0,19.0,26.0,73.07,0.0,0.0,0.0,0.0,0.0,Bangladesh,2020-02-01,2020-03-01
Mehidy Hasan Miraz,1,1.0,0.0,7.0,7.0,7.0,4.0,175.0,0.0,0.0,0.0,0.0,1.0,Bangladesh,2020-02-01,2020-03-01
Mashrafe Mortaza,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2020-02-01,2020-03-01
Mustafizur Rahman,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2020-02-01,2020-03-01
Taijul Islam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2020-02-01,2020-03-01
HM Nicholls,3,3.0,0.0,199.0,80.0,66.33,244.0,81.55,0.0,2.0,0.0,25.0,0.0,New Zealand,2020-02-01,2020-03-01
LRPL Taylor,3,3.0,2.0,194.0,109.0,194.0,176.0,110.22,1.0,1.0,0.0,17.0,6.0,New Zealand,2020-02-01,2020-03-01
MJ Guptill,3,3.0,0.0,177.0,79.0,59.0,166.0,106.62,0.0,2.0,0.0,15.0,7.0,New Zealand,2020-02-01,2020-03-01
TWM Latham,3,3.0,1.0,108.0,69.0,54.0,96.0,112.5,0.0,1.0,0.0,11.0,2.0,New Zealand,2020-02-01,2020-03-01
C de Grandhomme,3,3.0,1.0,64.0,58.0,32.0,38.0,168.42,0.0,1.0,0.0,7.0,3.0,New Zealand,2020-02-01,2020-03-01
TA Blundell,2,2.0,0.0,31.0,22.0,15.5,35.0,88.57,0.0,0.0,0.0,4.0,0.0,New Zealand,2020-02-01,2020-03-01
JDS Neesham,3,3.0,0.0,31.0,19.0,10.33,44.0,70.45,0.0,0.0,0.0,2.0,1.0,New Zealand,2020-02-01,2020-03-01
KA Jamieson,2,1.0,1.0,25.0,25.0,0.0,24.0,104.16,0.0,0.0,0.0,1.0,2.0,New Zealand,2020-02-01,2020-03-01
KS Williamson,1,1.0,0.0,22.0,22.0,22.0,31.0,70.96,0.0,0.0,0.0,2.0,0.0,New Zealand,2020-02-01,2020-03-01
MJ Santner,2,1.0,1.0,12.0,12.0,0.0,9.0,133.33,0.0,0.0,0.0,1.0,1.0,New Zealand,2020-02-01,2020-03-01
TG Southee,3,1.0,0.0,3.0,3.0,3.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,New Zealand,2020-02-01,2020-03-01
MS Chapman,1,1.0,0.0,1.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,New Zealand,2020-02-01,2020-03-01
HK Bennett,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,2020-02-01,2020-03-01
IS Sodhi,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,2020-02-01,2020-03-01
JL Denly,3,2.0,0.0,153.0,87.0,76.5,182.0,84.06,0.0,2.0,0.0,12.0,5.0,England,2020-02-01,2020-03-01
JE Root,3,2.0,0.0,66.0,49.0,33.0,73.0,90.41,0.0,0.0,0.0,3.0,0.0,England,2020-02-01,2020-03-01
JM Bairstow,3,2.0,0.0,62.0,43.0,31.0,48.0,129.16,0.0,0.0,0.0,9.0,3.0,England,2020-02-01,2020-03-01
JJ Roy,3,2.0,0.0,53.0,32.0,26.5,53.0,100.0,0.0,0.0,0.0,5.0,2.0,England,2020-02-01,2020-03-01
T Banton,3,2.0,0.0,50.0,32.0,25.0,55.0,90.9,0.0,0.0,0.0,7.0,1.0,England,2020-02-01,2020-03-01
CR Woakes,2,1.0,0.0,40.0,40.0,40.0,42.0,95.23,0.0,0.0,0.0,2.0,0.0,England,2020-02-01,2020-03-01
TK Curran,3,2.0,1.0,20.0,15.0,20.0,27.0,74.07,0.0,0.0,0.0,1.0,0.0,England,2020-02-01,2020-03-01
EJG Morgan,3,2.0,0.0,20.0,11.0,10.0,32.0,62.5,0.0,0.0,0.0,2.0,0.0,England,2020-02-01,2020-03-01
MM Ali,1,1.0,1.0,17.0,17.0,0.0,16.0,106.25,0.0,0.0,0.0,3.0,0.0,England,2020-02-01,2020-03-01
SM Curran,2,1.0,0.0,7.0,7.0,7.0,18.0,38.88,0.0,0.0,0.0,0.0,0.0,England,2020-02-01,2020-03-01
AU Rashid,1,1.0,0.0,2.0,2.0,2.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,England,2020-02-01,2020-03-01
CJ Jordan,3,2.0,2.0,1.0,1.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,England,2020-02-01,2020-03-01
S Mahmood,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England,2020-02-01,2020-03-01
MW Parkinson,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England,2020-02-01,2020-03-01
SPD Smith,1,1.0,0.0,76.0,76.0,76.0,94.0,80.85,0.0,1.0,0.0,3.0,0.0,Australia,2020-02-01,2020-03-01
M Labuschagne,1,1.0,0.0,41.0,41.0,41.0,51.0,80.39,0.0,0.0,0.0,2.0,0.0,Australia,2020-02-01,2020-03-01
DA Warner,1,1.0,0.0,25.0,25.0,25.0,27.0,92.59,0.0,0.0,0.0,3.0,0.0,Australia,2020-02-01,2020-03-01
DJM Short,1,1.0,0.0,18.0,18.0,18.0,24.0,75.0,0.0,0.0,0.0,1.0,0.0,Australia,2020-02-01,2020-03-01
MR Marsh,1,1.0,0.0,16.0,16.0,16.0,19.0,84.21,0.0,0.0,0.0,1.0,0.0,Australia,2020-02-01,2020-03-01
AJ Finch,1,1.0,0.0,10.0,10.0,10.0,12.0,83.33,0.0,0.0,0.0,1.0,0.0,Australia,2020-02-01,2020-03-01
A Zampa,1,1.0,1.0,7.0,7.0,0.0,5.0,140.0,0.0,0.0,0.0,1.0,0.0,Australia,2020-02-01,2020-03-01
PJ Cummins,1,1.0,0.0,6.0,6.0,6.0,7.0,85.71,0.0,0.0,0.0,1.0,0.0,Australia,2020-02-01,2020-03-01
AT Carey,1,1.0,0.0,5.0,5.0,5.0,16.0,31.25,0.0,0.0,0.0,0.0,0.0,Australia,2020-02-01,2020-03-01
MA Starc,1,1.0,0.0,5.0,5.0,5.0,12.0,41.66,0.0,0.0,0.0,0.0,0.0,Australia,2020-02-01,2020-03-01
JR Hazlewood,1,1.0,0.0,1.0,1.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,Australia,2020-02-01,2020-03-01
Q de Kock,4,4.0,0.0,202.0,107.0,50.5,227.0,88.98,1.0,1.0,0.0,17.0,3.0,South Africa,2020-02-01,2020-03-01
T Bavuma,4,4.0,0.0,174.0,98.0,43.5,193.0,90.15,0.0,1.0,0.0,12.0,3.0,South Africa,2020-02-01,2020-03-01
DA Miller,4,2.0,1.0,133.0,69.0,133.0,123.0,108.13,0.0,2.0,0.0,8.0,5.0,South Africa,2020-02-01,2020-03-01
H Klaasen,1,1.0,1.0,123.0,123.0,0.0,114.0,107.89,1.0,0.0,0.0,7.0,3.0,South Africa,2020-02-01,2020-03-01
RR Hendricks,3,3.0,1.0,52.0,35.0,26.0,74.0,70.27,0.0,0.0,0.0,6.0,0.0,South Africa,2020-02-01,2020-03-01
K Verreynne,1,1.0,0.0,48.0,48.0,48.0,64.0,75.0,0.0,0.0,0.0,2.0,0.0,South Africa,2020-02-01,2020-03-01
HE van der Dussen,3,2.0,1.0,43.0,38.0,43.0,53.0,81.13,0.0,0.0,0.0,4.0,0.0,South Africa,2020-02-01,2020-03-01
JT Smuts,3,2.0,1.0,38.0,31.0,38.0,49.0,77.55,0.0,0.0,0.0,3.0,1.0,South Africa,2020-02-01,2020-03-01
AL Phehlukwayo,4,2.0,0.0,14.0,14.0,7.0,33.0,42.42,0.0,0.0,1.0,1.0,0.0,South Africa,2020-02-01,2020-03-01
L Sipamla,3,1.0,1.0,10.0,10.0,0.0,14.0,71.42,0.0,0.0,0.0,0.0,0.0,South Africa,2020-02-01,2020-03-01
BE Hendricks,3,1.0,0.0,3.0,3.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-02-01,2020-03-01
KA Maharaj,1,1.0,0.0,2.0,2.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-02-01,2020-03-01
A Nortje,1,1.0,1.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-02-01,2020-03-01
JN Malan,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,South Africa,2020-02-01,2020-03-01
BC Fortuin,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-02-01,2020-03-01
L Ngidi,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-02-01,2020-03-01
T Shamsi,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-02-01,2020-03-01
Litton Das,3,3.0,1.0,311.0,176.0,155.5,262.0,118.7,2.0,0.0,0.0,31.0,10.0,Bangladesh,2020-03-01,2020-04-01
Tamim Iqbal,3,3.0,1.0,310.0,158.0,155.0,288.0,107.63,2.0,0.0,0.0,29.0,9.0,Bangladesh,2020-03-01,2020-04-01
Mohammad Mithun,3,2.0,1.0,82.0,50.0,82.0,59.0,138.98,0.0,1.0,0.0,8.0,2.0,Bangladesh,2020-03-01,2020-04-01
Mahmudullah,3,3.0,0.0,76.0,41.0,25.33,89.0,85.39,0.0,0.0,0.0,5.0,1.0,Bangladesh,2020-03-01,2020-04-01
Mushfiqur Rahim,2,2.0,0.0,74.0,55.0,37.0,76.0,97.36,0.0,1.0,0.0,6.0,0.0,Bangladesh,2020-03-01,2020-04-01
Najmul Hossain Shanto,2,2.0,0.0,35.0,29.0,17.5,48.0,72.91,0.0,0.0,0.0,2.0,2.0,Bangladesh,2020-03-01,2020-04-01
Mohammad Saifuddin,2,1.0,1.0,28.0,28.0,0.0,15.0,186.66,0.0,0.0,0.0,0.0,3.0,Bangladesh,2020-03-01,2020-04-01
Mehidy Hasan Miraz,3,2.0,0.0,12.0,7.0,6.0,10.0,120.0,0.0,0.0,0.0,0.0,1.0,Bangladesh,2020-03-01,2020-04-01
Afif Hossain,1,1.0,0.0,7.0,7.0,7.0,4.0,175.0,0.0,0.0,0.0,1.0,0.0,Bangladesh,2020-03-01,2020-04-01
Shafiul Islam,1,1.0,1.0,5.0,5.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2020-03-01,2020-04-01
Mashrafe Mortaza,3,2.0,1.0,1.0,1.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2020-03-01,2020-04-01
Taijul Islam,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Bangladesh,2020-03-01,2020-04-01
Al-Amin Hossain,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2020-03-01,2020-04-01
Mohammad Naim,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2020-03-01,2020-04-01
Mustafizur Rahman,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2020-03-01,2020-04-01
MJ Guptill,1,1.0,0.0,40.0,40.0,40.0,73.0,54.79,0.0,0.0,0.0,1.0,1.0,New Zealand,2020-03-01,2020-04-01
TWM Latham,1,1.0,0.0,38.0,38.0,38.0,40.0,95.0,0.0,0.0,0.0,4.0,0.0,New Zealand,2020-03-01,2020-04-01
C de Grandhomme,1,1.0,0.0,25.0,25.0,25.0,26.0,96.15,0.0,0.0,0.0,3.0,0.0,New Zealand,2020-03-01,2020-04-01
KS Williamson,1,1.0,0.0,19.0,19.0,19.0,26.0,73.07,0.0,0.0,0.0,2.0,0.0,New Zealand,2020-03-01,2020-04-01
MJ Santner,1,1.0,0.0,14.0,14.0,14.0,16.0,87.5,0.0,0.0,0.0,1.0,0.0,New Zealand,2020-03-01,2020-04-01
IS Sodhi,1,1.0,1.0,14.0,14.0,0.0,16.0,87.5,0.0,0.0,0.0,1.0,0.0,New Zealand,2020-03-01,2020-04-01
HM Nicholls,1,1.0,0.0,10.0,10.0,10.0,22.0,45.45,0.0,0.0,0.0,1.0,0.0,New Zealand,2020-03-01,2020-04-01
JDS Neesham,1,1.0,0.0,8.0,8.0,8.0,10.0,80.0,0.0,0.0,0.0,0.0,1.0,New Zealand,2020-03-01,2020-04-01
TA Boult,1,1.0,0.0,5.0,5.0,5.0,4.0,125.0,0.0,0.0,0.0,1.0,0.0,New Zealand,2020-03-01,2020-04-01
LRPL Taylor,1,1.0,0.0,4.0,4.0,4.0,6.0,66.66,0.0,0.0,0.0,0.0,0.0,New Zealand,2020-03-01,2020-04-01
LH Ferguson,1,1.0,0.0,1.0,1.0,1.0,7.0,14.28,0.0,0.0,0.0,0.0,0.0,New Zealand,2020-03-01,2020-04-01
M Labuschagne,3,3.0,0.0,164.0,108.0,54.66,161.0,101.86,1.0,1.0,1.0,10.0,0.0,Australia,2020-03-01,2020-04-01
AJ Finch,3,3.0,0.0,151.0,69.0,50.33,210.0,71.9,0.0,2.0,0.0,12.0,4.0,Australia,2020-03-01,2020-04-01
DJM Short,3,3.0,0.0,110.0,69.0,36.66,146.0,75.34,0.0,1.0,0.0,8.0,0.0,Australia,2020-03-01,2020-04-01
DA Warner,3,3.0,0.0,106.0,67.0,35.33,120.0,88.33,0.0,1.0,0.0,13.0,1.0,Australia,2020-03-01,2020-04-01
MR Marsh,3,3.0,0.0,95.0,36.0,31.66,120.0,79.16,0.0,0.0,0.0,7.0,1.0,Australia,2020-03-01,2020-04-01
SPD Smith,3,3.0,0.0,47.0,20.0,15.66,60.0,78.33,0.0,0.0,0.0,4.0,1.0,Australia,2020-03-01,2020-04-01
JA Richardson,1,1.0,1.0,24.0,24.0,0.0,20.0,120.0,0.0,0.0,0.0,3.0,0.0,Australia,2020-03-01,2020-04-01
AT Carey,3,3.0,0.0,22.0,21.0,7.33,26.0,84.61,0.0,0.0,1.0,1.0,0.0,Australia,2020-03-01,2020-04-01
PJ Cummins,2,2.0,1.0,20.0,14.0,20.0,18.0,111.11,0.0,0.0,0.0,0.0,1.0,Australia,2020-03-01,2020-04-01
MA Starc,2,2.0,1.0,12.0,9.0,12.0,9.0,133.33,0.0,0.0,0.0,1.0,0.0,Australia,2020-03-01,2020-04-01
AC Agar,1,1.0,0.0,9.0,9.0,9.0,8.0,112.5,0.0,0.0,0.0,0.0,0.0,Australia,2020-03-01,2020-04-01
A Zampa,3,1.0,1.0,3.0,3.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,Australia,2020-03-01,2020-04-01
KW Richardson,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia,2020-03-01,2020-04-01
JR Hazlewood,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia,2020-03-01,2020-04-01
JN Malan,2,2.0,1.0,152.0,129.0,152.0,165.0,92.12,1.0,0.0,0.0,11.0,4.0,South Africa,2020-03-01,2020-04-01
JT Smuts,2,2.0,0.0,125.0,84.0,62.5,162.0,77.16,0.0,1.0,0.0,15.0,0.0,South Africa,2020-03-01,2020-04-01
H Klaasen,2,2.0,1.0,119.0,68.0,119.0,115.0,103.47,0.0,2.0,0.0,13.0,2.0,South Africa,2020-03-01,2020-04-01
K Verreynne,2,2.0,0.0,53.0,50.0,26.5,56.0,94.64,0.0,1.0,0.0,3.0,3.0,South Africa,2020-03-01,2020-04-01
DA Miller,2,2.0,2.0,40.0,37.0,0.0,34.0,117.64,0.0,0.0,0.0,3.0,0.0,South Africa,2020-03-01,2020-04-01
Q de Kock,2,2.0,0.0,26.0,26.0,13.0,33.0,78.78,0.0,0.0,1.0,2.0,2.0,South Africa,2020-03-01,2020-04-01
DM Dupavillon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-03-01,2020-04-01
KA Maharaj,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-03-01,2020-04-01
L Ngidi,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-03-01,2020-04-01
A Nortje,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-03-01,2020-04-01
AL Phehlukwayo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-03-01,2020-04-01
T Shamsi,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-03-01,2020-04-01
L Sipamla,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,2020-03-01,2020-04-01
SW Billings,2,2.0,2.0,113.0,67.0,0.0,115.0,98.26,0.0,1.0,0.0,17.0,0.0,England,2020-07-01,2020-08-01
JM Bairstow,2,2.0,0.0,84.0,82.0,42.0,48.0,175.0,0.0,1.0,0.0,14.0,2.0,England,2020-07-01,2020-08-01
DJ Willey,2,1.0,1.0,47.0,47.0,0.0,46.0,102.17,0.0,0.0,0.0,5.0,2.0,England,2020-07-01,2020-08-01
JM Vince,2,2.0,0.0,41.0,25.0,20.5,47.0,87.23,0.0,0.0,0.0,8.0,0.0,England,2020-07-01,2020-08-01
EJG Morgan,2,2.0,1.0,36.0,36.0,36.0,42.0,85.71,0.0,0.0,1.0,4.0,2.0,England,2020-07-01,2020-08-01
T Banton,2,2.0,0.0,26.0,15.0,13.0,39.0,66.66,0.0,0.0,0.0,4.0,0.0,England,2020-07-01,2020-08-01
JJ Roy,2,2.0,0.0,24.0,24.0,12.0,25.0,96.0,0.0,0.0,1.0,2.0,1.0,England,2020-07-01,2020-08-01
MM Ali,2,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,England,2020-07-01,2020-08-01
TK Curran,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England,2020-07-01,2020-08-01
S Mahmood,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England,2020-07-01,2020-08-01
AU Rashid,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England,2020-07-01,2020-08-01
RJW Topley,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England,2020-07-01,2020-08-01
EJG Morgan,2,2.0,0.0,106.0,106.0,53.0,86.0,123.25,1.0,0.0,1.0,15.0,4.0,England,2020-08-01,2020-09-01
DJ Willey,2,2.0,1.0,98.0,51.0,98.0,88.0,111.36,0.0,1.0,0.0,8.0,5.0,England,2020-08-01,2020-09-01
JM Bairstow,2,2.0,0.0,86.0,82.0,43.0,48.0,179.16,0.0,1.0,0.0,14.0,2.0,England,2020-08-01,2020-09-01
T Banton,2,2.0,0.0,73.0,58.0,36.5,66.0,110.6,0.0,1.0,0.0,9.0,1.0,England,2020-08-01,2020-09-01
SW Billings,2,2.0,1.0,65.0,46.0,65.0,79.0,82.27,0.0,0.0,0.0,9.0,0.0,England,2020-08-01,2020-09-01
TK Curran,1,1.0,1.0,38.0,38.0,0.0,54.0,70.37,0.0,0.0,0.0,4.0,0.0,England,2020-08-01,2020-09-01
JM Vince,2,2.0,0.0,32.0,16.0,16.0,44.0,72.72,0.0,0.0,0.0,6.0,0.0,England,2020-08-01,2020-09-01
S Mahmood,2,1.0,0.0,12.0,12.0,12.0,15.0,80.0,0.0,0.0,0.0,1.0,0.0,England,2020-08-01,2020-09-01
AU Rashid,2,1.0,0.0,3.0,3.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,England,2020-08-01,2020-09-01
MM Ali,2,2.0,0.0,1.0,1.0,0.5,8.0,12.5,0.0,0.0,1.0,0.0,0.0,England,2020-08-01,2020-09-01
JJ Roy,2,2.0,0.0,1.0,1.0,0.5,7.0,14.28,0.0,0.0,1.0,0.0,0.0,England,2020-08-01,2020-09-01
RJW Topley,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England,2020-08-01,2020-09-01
JM Bairstow,3,3.0,0.0,196.0,112.0,65.33,240.0,81.66,1.0,1.0,1.0,16.0,6.0,England,2020-09-01,2020-10-01
