Player,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Team,Start Date,End Date
KL Rahul,3,3.0,5.0,4.0,1.0,4.0,0.0,3 (2ct 1st),1.666,India,2020-01-01,2020-02-01
SS Iyer,3,3.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),0.666,India,2020-01-01,2020-02-01
V Kohli,3,3.0,2.0,2.0,0.0,0.0,2.0,1 (1ct 0st),0.666,India,2020-01-01,2020-02-01
Mohammed Shami,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,India,2020-01-01,2020-02-01
MK Pandey,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,India,2020-01-01,2020-02-01
JJ Bumrah,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
S Dhawan,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
RA Jadeja,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
Kuldeep Yadav,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
RR Pant,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
NA Saini,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
RG Sharma,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
SN Thakur,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-01-01,2020-02-01
AT Carey,3,3.0,3.0,3.0,0.0,3.0,0.0,3 (3ct 0st),1.0,Australia,2020-01-01,2020-02-01
MA Starc,3,3.0,3.0,3.0,0.0,0.0,3.0,2 (2ct 0st),1.0,Australia,2020-01-01,2020-02-01
AC Agar,3,3.0,2.0,2.0,0.0,0.0,2.0,1 (1ct 0st),0.666,Australia,2020-01-01,2020-02-01
SPD Smith,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-01-01,2020-02-01
AJ Turner,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-01-01,2020-02-01
DA Warner,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-01-01,2020-02-01
A Zampa,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-01-01,2020-02-01
PJ Cummins,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-01-01,2020-02-01
AJ Finch,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-01-01,2020-02-01
JR Hazlewood,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-01-01,2020-02-01
M Labuschagne,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-01-01,2020-02-01
KW Richardson,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-01-01,2020-02-01
KM Jadhav,2,2.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),1.0,India,2020-02-01,2020-03-01
V Kohli,3,3.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),0.666,India,2020-02-01,2020-03-01
KL Rahul,3,3.0,2.0,1.0,1.0,1.0,0.0,1 (1ct 0st),0.666,India,2020-02-01,2020-03-01
NA Saini,2,2.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),1.0,India,2020-02-01,2020-03-01
MA Agarwal,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,India,2020-02-01,2020-03-01
YS Chahal,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,India,2020-02-01,2020-03-01
SS Iyer,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,India,2020-02-01,2020-03-01
Mohammed Shami,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,India,2020-02-01,2020-03-01
JJ Bumrah,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-02-01,2020-03-01
RA Jadeja,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-02-01,2020-03-01
Kuldeep Yadav,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-02-01,2020-03-01
MK Pandey,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-02-01,2020-03-01
PP Shaw,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-02-01,2020-03-01
SN Thakur,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,India,2020-02-01,2020-03-01
Mahmudullah,1,1.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),2.0,Bangladesh,2020-02-01,2020-03-01
Mashrafe Mortaza,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,Bangladesh,2020-02-01,2020-03-01
Mehidy Hasan Miraz,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,Bangladesh,2020-02-01,2020-03-01
Mohammad Saifuddin,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,Bangladesh,2020-02-01,2020-03-01
Litton Das,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
Mohammad Mithun,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
Mushfiqur Rahim,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
Mustafizur Rahman,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
Najmul Hossain Shanto,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
Taijul Islam,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
Tamim Iqbal,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-02-01,2020-03-01
C de Grandhomme,3,3.0,3.0,3.0,0.0,0.0,3.0,2 (2ct 0st),1.0,New Zealand,2020-02-01,2020-03-01
KA Jamieson,2,2.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),1.0,New Zealand,2020-02-01,2020-03-01
TWM Latham,3,3.0,2.0,2.0,0.0,2.0,0.0,1 (1ct 0st),0.666,New Zealand,2020-02-01,2020-03-01
MJ Santner,2,2.0,2.0,2.0,0.0,0.0,2.0,1 (1ct 0st),1.0,New Zealand,2020-02-01,2020-03-01
TA Blundell,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,New Zealand,2020-02-01,2020-03-01
HM Nicholls,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,New Zealand,2020-02-01,2020-03-01
LRPL Taylor,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,New Zealand,2020-02-01,2020-03-01
HK Bennett,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
MS Chapman,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
MJ Guptill,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
JDS Neesham,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
IS Sodhi,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
TG Southee,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
KS Williamson,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-02-01,2020-03-01
JM Bairstow,3,3.0,1.0,1.0,0.0,1.0,0.0,1 (1ct 0st),0.333,England,2020-02-01,2020-03-01
MM Ali,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
T Banton,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
SM Curran,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
TK Curran,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
JL Denly,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
CJ Jordan,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
S Mahmood,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
EJG Morgan,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
MW Parkinson,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
AU Rashid,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
JE Root,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
JJ Roy,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
CR Woakes,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-02-01,2020-03-01
AT Carey,1,1.0,2.0,2.0,0.0,2.0,0.0,2 (2ct 0st),2.0,Australia,2020-02-01,2020-03-01
MR Marsh,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,Australia,2020-02-01,2020-03-01
PJ Cummins,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
AJ Finch,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
JR Hazlewood,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
M Labuschagne,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
DJM Short,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
SPD Smith,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
MA Starc,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
DA Warner,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
A Zampa,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-02-01,2020-03-01
Q de Kock,4,3.0,4.0,3.0,1.0,3.0,0.0,2 (2ct 0st),1.333,South Africa,2020-02-01,2020-03-01
T Bavuma,4,3.0,3.0,3.0,0.0,0.0,3.0,2 (2ct 0st),1.0,South Africa,2020-02-01,2020-03-01
K Verreynne,1,1.0,3.0,3.0,0.0,0.0,3.0,3 (3ct 0st),3.0,South Africa,2020-02-01,2020-03-01
RR Hendricks,3,2.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),1.0,South Africa,2020-02-01,2020-03-01
L Ngidi,3,3.0,2.0,2.0,0.0,0.0,2.0,1 (1ct 0st),0.666,South Africa,2020-02-01,2020-03-01
AL Phehlukwayo,4,3.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),0.666,South Africa,2020-02-01,2020-03-01
BE Hendricks,3,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,South Africa,2020-02-01,2020-03-01
DA Miller,4,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,South Africa,2020-02-01,2020-03-01
L Sipamla,3,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,South Africa,2020-02-01,2020-03-01
H Klaasen,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-02-01,2020-03-01
KA Maharaj,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-02-01,2020-03-01
JN Malan,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-02-01,2020-03-01
A Nortje,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-02-01,2020-03-01
T Shamsi,4,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-02-01,2020-03-01
JT Smuts,3,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-02-01,2020-03-01
HE van der Dussen,3,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-02-01,2020-03-01
BC Fortuin,1,,,,,,,,,South Africa,2020-02-01,2020-03-01
Litton Das,3,3.0,3.0,3.0,0.0,1.0,2.0,2 (2ct 0st),1.0,Bangladesh,2020-03-01,2020-04-01
Mahmudullah,3,3.0,3.0,3.0,0.0,0.0,3.0,2 (2ct 0st),1.0,Bangladesh,2020-03-01,2020-04-01
Mehidy Hasan Miraz,3,3.0,2.0,2.0,0.0,0.0,2.0,1 (1ct 0st),0.666,Bangladesh,2020-03-01,2020-04-01
Mohammad Naim,1,1.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),2.0,Bangladesh,2020-03-01,2020-04-01
Mashrafe Mortaza,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Bangladesh,2020-03-01,2020-04-01
Mohammad Mithun,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Bangladesh,2020-03-01,2020-04-01
Mohammad Saifuddin,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,Bangladesh,2020-03-01,2020-04-01
Afif Hossain,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-03-01,2020-04-01
Al-Amin Hossain,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-03-01,2020-04-01
Mushfiqur Rahim,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-03-01,2020-04-01
Mustafizur Rahman,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-03-01,2020-04-01
Najmul Hossain Shanto,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-03-01,2020-04-01
Shafiul Islam,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-03-01,2020-04-01
Taijul Islam,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-03-01,2020-04-01
Tamim Iqbal,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bangladesh,2020-03-01,2020-04-01
TA Boult,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,New Zealand,2020-03-01,2020-04-01
MJ Guptill,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,New Zealand,2020-03-01,2020-04-01
TWM Latham,1,1.0,1.0,1.0,0.0,1.0,0.0,1 (1ct 0st),1.0,New Zealand,2020-03-01,2020-04-01
HM Nicholls,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,New Zealand,2020-03-01,2020-04-01
IS Sodhi,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,New Zealand,2020-03-01,2020-04-01
LRPL Taylor,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,New Zealand,2020-03-01,2020-04-01
C de Grandhomme,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-03-01,2020-04-01
LH Ferguson,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-03-01,2020-04-01
JDS Neesham,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-03-01,2020-04-01
MJ Santner,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-03-01,2020-04-01
KS Williamson,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,New Zealand,2020-03-01,2020-04-01
AT Carey,3,3.0,3.0,3.0,0.0,3.0,0.0,2 (2ct 0st),1.0,Australia,2020-03-01,2020-04-01
PJ Cummins,2,2.0,3.0,3.0,0.0,0.0,3.0,2 (2ct 0st),1.5,Australia,2020-03-01,2020-04-01
MA Starc,2,2.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),1.0,Australia,2020-03-01,2020-04-01
AJ Finch,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-03-01,2020-04-01
M Labuschagne,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-03-01,2020-04-01
MR Marsh,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-03-01,2020-04-01
DJM Short,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-03-01,2020-04-01
SPD Smith,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-03-01,2020-04-01
DA Warner,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-03-01,2020-04-01
AC Agar,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-03-01,2020-04-01
JR Hazlewood,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-03-01,2020-04-01
JA Richardson,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-03-01,2020-04-01
KW Richardson,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-03-01,2020-04-01
A Zampa,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-03-01,2020-04-01
Q de Kock,2,2.0,3.0,3.0,0.0,3.0,0.0,2 (2ct 0st),1.5,South Africa,2020-03-01,2020-04-01
JN Malan,2,2.0,3.0,3.0,0.0,0.0,3.0,3 (3ct 0st),1.5,South Africa,2020-03-01,2020-04-01
JT Smuts,2,2.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),1.0,South Africa,2020-03-01,2020-04-01
H Klaasen,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,South Africa,2020-03-01,2020-04-01
KA Maharaj,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,South Africa,2020-03-01,2020-04-01
DA Miller,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,South Africa,2020-03-01,2020-04-01
DM Dupavillon,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-03-01,2020-04-01
L Ngidi,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-03-01,2020-04-01
A Nortje,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-03-01,2020-04-01
AL Phehlukwayo,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-03-01,2020-04-01
T Shamsi,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-03-01,2020-04-01
L Sipamla,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-03-01,2020-04-01
K Verreynne,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,South Africa,2020-03-01,2020-04-01
JM Bairstow,2,2.0,4.0,4.0,0.0,4.0,0.0,3 (3ct 0st),2.0,England,2020-07-01,2020-08-01
T Banton,2,2.0,2.0,2.0,0.0,0.0,2.0,1 (1ct 0st),1.0,England,2020-07-01,2020-08-01
SW Billings,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-07-01,2020-08-01
S Mahmood,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-07-01,2020-08-01
EJG Morgan,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-07-01,2020-08-01
AU Rashid,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-07-01,2020-08-01
JJ Roy,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-07-01,2020-08-01
RJW Topley,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,England,2020-07-01,2020-08-01
JM Vince,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-07-01,2020-08-01
DJ Willey,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-07-01,2020-08-01
MM Ali,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-07-01,2020-08-01
TK Curran,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-07-01,2020-08-01
JM Bairstow,2,2.0,3.0,3.0,0.0,3.0,0.0,3 (3ct 0st),1.5,England,2020-08-01,2020-09-01
T Banton,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-08-01,2020-09-01
SW Billings,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-08-01,2020-09-01
S Mahmood,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-08-01,2020-09-01
AU Rashid,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-08-01,2020-09-01
RJW Topley,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,England,2020-08-01,2020-09-01
MM Ali,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-08-01,2020-09-01
TK Curran,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-08-01,2020-09-01
EJG Morgan,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-08-01,2020-09-01
JJ Roy,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-08-01,2020-09-01
JM Vince,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-08-01,2020-09-01
DJ Willey,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-08-01,2020-09-01
JC Buttler,3,3.0,7.0,6.0,1.0,6.0,0.0,4 (3ct 1st),2.333,England,2020-09-01,2020-10-01
EJG Morgan,3,3.0,2.0,2.0,0.0,0.0,2.0,1 (1ct 0st),0.666,England,2020-09-01,2020-10-01
JC Archer,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,England,2020-09-01,2020-10-01
SW Billings,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,England,2020-09-01,2020-10-01
TK Curran,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-09-01,2020-10-01
CR Woakes,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,England,2020-09-01,2020-10-01
MA Wood,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,England,2020-09-01,2020-10-01
MM Ali,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-09-01,2020-10-01
JM Bairstow,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-09-01,2020-10-01
SM Curran,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-09-01,2020-10-01
AU Rashid,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-09-01,2020-10-01
JE Root,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-09-01,2020-10-01
JJ Roy,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,England,2020-09-01,2020-10-01
AT Carey,3,3.0,4.0,4.0,0.0,4.0,0.0,3 (3ct 0st),1.333,Australia,2020-09-01,2020-10-01
GJ Maxwell,3,3.0,4.0,4.0,0.0,0.0,4.0,3 (3ct 0st),1.333,Australia,2020-09-01,2020-10-01
AJ Finch,3,3.0,2.0,2.0,0.0,0.0,2.0,1 (1ct 0st),0.666,Australia,2020-09-01,2020-10-01
JR Hazlewood,3,3.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),0.666,Australia,2020-09-01,2020-10-01
M Labuschagne,3,3.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),0.666,Australia,2020-09-01,2020-10-01
MR Marsh,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-09-01,2020-10-01
MA Starc,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-09-01,2020-10-01
DA Warner,3,3.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.333,Australia,2020-09-01,2020-10-01
PJ Cummins,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-09-01,2020-10-01
MP Stoinis,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-09-01,2020-10-01
A Zampa,3,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Australia,2020-09-01,2020-10-01
Mohammad Rizwan,2,2.0,2.0,2.0,0.0,2.0,0.0,1 (1ct 0st),1.0,Pakistan,2020-10-01,2020-11-01
Wahab Riaz,1,1.0,2.0,2.0,0.0,0.0,2.0,2 (2ct 0st),2.0,Pakistan,2020-10-01,2020-11-01
Haider Ali,1,1.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),1.0,Pakistan,2020-10-01,2020-11-01
Haris Rauf,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,Pakistan,2020-10-01,2020-11-01
Iftikhar Ahmed,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,Pakistan,2020-10-01,2020-11-01
Imam-ul-Haq,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,Pakistan,2020-10-01,2020-11-01
Shaheen Shah Afridi,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,Pakistan,2020-10-01,2020-11-01
Abid Ali,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Pakistan,2020-10-01,2020-11-01
Babar Azam,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Pakistan,2020-10-01,2020-11-01
Faheem Ashraf,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Pakistan,2020-10-01,2020-11-01
Haris Sohail,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Pakistan,2020-10-01,2020-11-01
Imad Wasim,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Pakistan,2020-10-01,2020-11-01
Muhammad Musa,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Pakistan,2020-10-01,2020-11-01
KL Rahul,2,2.0,3.0,3.0,0.0,3.0,0.0,3 (3ct 0st),1.5,India,2020-11-01,2020-12-01
MA Agarwal,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,India,2020-11-01,2020-12-01
S Dhawan,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,India,2020-11-01,2020-12-01
RA Jadeja,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,India,2020-11-01,2020-12-01
V Kohli,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,India,2020-11-01,2020-12-01
Mohammed Shami,2,2.0,1.0,1.0,0.0,0.0,1.0,1 (1ct 0st),0.5,India,2020-11-01,2020-12-01
